year,count_method,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,light_goods_vehicles,heavy_goods_vehicles,all_motor_vehicles,count_point_id
2024,Estimated using AADF from previous year on this link,82,17,568,0,336,23,944,51
2023,Estimated using AADF from previous year on this link,85,17,561,0,330,23,931,51
2022,Estimated using AADF from previous year on this link,90,19,548,0,323,23,912,51
2021,Estimated using AADF from previous year on this link,92,17,510,0,290,22,840,51
2020,Manual count,123,16,467,0,254,20,757,51
2019,Estimated using AADF from previous year on this link,267,100,546,25,449,43,1164,51
2018,Estimated using AADF from previous year on this link,221,93,545,25,451,44,1158,51
2017,Estimated using AADF from previous year on this link,226,95,548,27,430,43,1143,51
2016,Estimated using AADF from previous year on this link,225,98,548,28,407,42,1122,51
2015,Estimated using AADF from previous year on this link,227,98,541,28,377,40,1084,51
2014,Estimated using AADF from previous year on this link,228,101,533,26,355,39,1054,51
2013,Estimated using AADF from previous year on this link,285,92,527,26,326,38,1009,51
2012,Manual count,288,89,525,24,304,39,980,51
2011,Estimated using AADF from previous year on this link,205,35,437,38,438,95,1043,51
2010,Estimated using AADF from previous year on this link,234,35,440,38,417,94,1024,51
2009,Estimated using AADF from previous year on this link,228,39,457,33,406,92,1027,51
2008,Estimated using AADF from previous year on this link,199,37,454,31,376,91,989,51
2007,Estimated using AADF from previous year on this link,199,37,462,30,360,92,981,51
2006,Estimated using AADF from previous year on this link,196,37,475,30,342,90,974,51
2005,Estimated using AADF from previous year on this link,205,35,470,30,323,90,948,51
2004,Manual count,196,37,476,35,296,84,928,51
2003,Estimated using AADF from previous year on this link,83,131,926,29,509,27,1622,51
2002,Estimated using AADF from previous year on this link,99,102,893,28,467,28,1518,51
2001,Estimated using AADF from previous year on this link,93,83,857,27,451,28,1446,51
2000,Estimated using AADF from previous year on this link,105,87,837,25,451,30,1430,51
2024,Estimated using AADF from previous year on this link,208,21,390,6,262,5,684,52
2023,Estimated using AADF from previous year on this link,217,21,386,6,258,5,675,52
2022,Estimated using AADF from previous year on this link,229,23,376,6,253,5,662,52
2021,Estimated using AADF from previous year on this link,235,20,351,6,227,4,608,52
2020,Estimated using AADF from previous year on this link,314,20,321,5,198,4,547,52
2019,Manual count,245,26,439,7,231,5,709,52
2018,Estimated using AADF from previous year on this link,81,76,636,8,264,12,996,52
2017,Estimated using AADF from previous year on this link,83,78,639,9,252,12,989,52
2016,Estimated using AADF from previous year on this link,83,80,639,9,238,11,978,52
2015,Estimated using AADF from previous year on this link,83,80,631,9,220,11,952,52
2014,Estimated using AADF from previous year on this link,83,83,622,9,208,11,932,52
2013,Estimated using AADF from previous year on this link,105,76,614,9,191,10,900,52
2012,Estimated using AADF from previous year on this link,106,73,612,8,178,11,882,52
2011,Manual count,113,79,624,7,184,11,905,52
2010,Estimated using AADF from previous year on this link,75,110,509,47,235,14,915,52
2009,Estimated using AADF from previous year on this link,73,121,528,41,229,14,933,52
2008,Estimated using AADF from previous year on this link,64,114,524,40,212,14,904,52
2007,Estimated using AADF from previous year on this link,64,114,533,39,202,14,902,52
2006,Estimated using AADF from previous year on this link,63,110,547,37,193,14,901,52
2005,Estimated using AADF from previous year on this link,66,104,543,40,182,14,883,52
2004,Estimated using AADF from previous year on this link,63,114,549,44,167,12,886,52
2003,Estimated using AADF from previous year on this link,64,105,539,55,171,14,884,52
2002,Manual count,77,82,520,54,156,14,826,52
2001,Estimated using AADF from previous year on this link,72,233,632,17,250,10,1142,52
2000,Estimated using AADF from previous year on this link,82,246,617,16,250,11,1140,52
2024,Manual count,241,45,641,0,660,37,1383,53
2023,Estimated using AADF from previous year on this link,179,73,699,5,475,22,1274,53
2022,Estimated using AADF from previous year on this link,189,78,682,5,466,22,1253,53
2021,Estimated using AADF from previous year on this link,193,71,636,5,418,21,1151,53
2020,Estimated using AADF from previous year on this link,259,68,581,4,365,19,1038,53
2019,Estimated using AADF from previous year on this link,202,92,796,7,427,21,1342,53
2018,Estimated using AADF from previous year on this link,167,85,794,7,428,22,1336,53
2017,Estimated using AADF from previous year on this link,171,87,798,7,409,21,1323,53
2016,Manual count,170,90,799,7,386,21,1303,53
2015,Estimated using AADF from previous year on this link,174,180,774,51,436,36,1477,53
2014,Estimated using AADF from previous year on this link,175,186,762,48,411,35,1442,53
2013,Estimated using AADF from previous year on this link,219,170,753,48,377,34,1383,53
2012,Estimated using AADF from previous year on this link,221,163,751,44,352,35,1345,53
2011,Estimated using AADF from previous year on this link,237,177,765,39,364,36,1381,53
2010,Estimated using AADF from previous year on this link,271,175,771,39,347,36,1368,53
2009,Estimated using AADF from previous year on this link,265,194,801,34,339,35,1403,53
2008,Estimated using AADF from previous year on this link,231,183,796,33,315,35,1362,53
2007,Manual count,229,183,811,32,301,36,1363,53
2006,Estimated using AADF from previous year on this link,176,132,923,51,300,33,1439,53
2005,Estimated using AADF from previous year on this link,184,125,914,53,283,33,1408,53
2004,Estimated using AADF from previous year on this link,176,137,924,60,259,30,1410,53
2003,Estimated using AADF from previous year on this link,180,127,908,74,265,31,1405,53
2002,Estimated using AADF from previous year on this link,215,99,876,73,243,33,1324,53
2001,Manual count,202,81,840,70,235,33,1259,53
2000,Estimated using AADF from previous year on this link,112,98,491,16,264,15,884,53
2024,Estimated using AADF from previous year on this link,81,40,327,0,226,9,601,54
2023,Estimated using AADF from previous year on this link,85,40,323,0,222,9,594,54
2022,Estimated using AADF from previous year on this link,89,43,315,0,218,9,585,54
2021,Estimated using AADF from previous year on this link,91,39,293,0,195,9,537,54
2020,Manual count,122,37,268,0,171,8,485,54
2019,Estimated using AADF from previous year on this link,69,57,347,6,298,37,745,54
2018,Estimated using AADF from previous year on this link,57,53,346,6,299,37,741,54
2017,Estimated using AADF from previous year on this link,58,54,348,6,286,37,730,54
2016,Estimated using AADF from previous year on this link,58,56,348,6,270,36,716,54
2015,Estimated using AADF from previous year on this link,58,55,344,6,250,34,690,54
2014,Estimated using AADF from previous year on this link,59,57,339,6,236,33,670,54
2013,Estimated using AADF from previous year on this link,73,52,335,6,216,32,642,54
2012,Manual count,74,50,334,5,202,33,624,54
2011,Estimated using AADF from previous year on this link,68,104,481,16,347,13,961,54
2010,Estimated using AADF from previous year on this link,78,103,484,16,331,13,947,54
2009,Estimated using AADF from previous year on this link,76,114,503,14,323,13,967,54
2008,Estimated using AADF from previous year on this link,66,107,500,13,300,13,933,54
2007,Estimated using AADF from previous year on this link,65,107,508,12,287,13,927,54
2006,Estimated using AADF from previous year on this link,65,103,523,12,273,13,924,54
2005,Estimated using AADF from previous year on this link,68,97,517,12,257,13,896,54
2004,Estimated using AADF from previous year on this link,65,106,523,14,236,12,891,54
2003,Estimated using AADF from previous year on this link,66,99,514,17,241,12,883,54
2002,Estimated using AADF from previous year on this link,79,77,496,17,221,13,824,54
2001,Estimated using AADF from previous year on this link,74,63,476,16,214,13,782,54
2000,Estimated using AADF from previous year on this link,84,66,465,15,214,14,774,54
2024,Estimated using AADF from previous year on this link,95,16,213,0,95,10,334,55
2023,Estimated using AADF from previous year on this link,99,16,211,0,93,10,330,55
2022,Estimated using AADF from previous year on this link,105,17,205,0,91,10,324,55
2021,Manual count,107,16,191,0,82,10,299,55
2020,Estimated using AADF from previous year on this link,48,16,122,0,153,15,306,55
2019,Estimated using AADF from previous year on this link,38,21,168,0,179,16,384,55
2018,Estimated using AADF from previous year on this link,31,20,167,0,180,16,383,55
2017,Estimated using AADF from previous year on this link,32,20,168,0,171,16,376,55
2016,Estimated using AADF from previous year on this link,32,21,168,0,162,16,367,55
2015,Estimated using AADF from previous year on this link,32,21,166,0,150,15,352,55
2014,Estimated using AADF from previous year on this link,32,22,164,0,141,15,341,55
2013,Manual count,40,20,162,0,130,14,326,55
2012,Estimated using AADF from previous year on this link,40,53,166,10,87,15,330,55
2011,Estimated using AADF from previous year on this link,43,57,169,9,90,15,340,55
2010,Estimated using AADF from previous year on this link,49,57,171,9,86,15,338,55
2009,Estimated using AADF from previous year on this link,47,63,178,8,84,15,348,55
2008,Estimated using AADF from previous year on this link,41,60,177,8,78,15,338,55
2007,Estimated using AADF from previous year on this link,41,59,179,8,74,17,337,55
2006,Estimated using AADF from previous year on this link,41,57,185,8,71,17,338,55
2005,Manual count,42,54,183,8,67,15,327,55
2004,Estimated using AADF from previous year on this link,119,48,453,21,85,23,630,55
2003,Estimated using AADF from previous year on this link,121,45,445,26,86,23,625,55
2002,Estimated using AADF from previous year on this link,145,35,429,25,79,25,593,55
2001,Estimated using AADF from previous year on this link,136,28,411,24,77,25,565,55
2000,Estimated using AADF from previous year on this link,155,30,401,22,77,27,557,55
2024,Estimated using AADF from previous year on this link,29,90,13215,66,3531,1035,17937,60
2023,Estimated using AADF from previous year on this link,31,91,13058,66,3469,1041,17724,60
2022,Manual count,32,98,12743,66,3402,1067,17376,60
2021,Estimated using AADF from previous year on this link,15,49,9772,54,2508,797,13180,60
2020,Estimated using AADF from previous year on this link,20,47,8936,46,2190,745,11964,60
2019,Estimated using AADF from previous year on this link,15,63,12237,71,2559,831,15761,60
2018,Manual count,13,59,12210,72,2568,827,15736,60
2017,Estimated using AADF from previous year on this link,43,129,12916,100,2975,1063,17184,60
2016,Estimated using AADF from previous year on this link,43,133,12932,103,2811,1038,17016,60
2015,Estimated using AADF from previous year on this link,43,133,12773,104,2603,1008,16621,60
2014,Manual count,44,128,12400,106,2342,940,15916,60
2013,Estimated using AADF from previous year on this link,24,156,15859,49,2670,1095,19829,60
2012,Estimated from nearby links,24,148,16051,48,2515,1049,19810,60
2024,Estimated using AADF from previous year on this link,66,40,5894,80,1257,199,7469,61
2023,Estimated using AADF from previous year on this link,66,39,5806,80,1234,199,7357,61
2022,Estimated using AADF from previous year on this link,67,39,5699,79,1214,202,7233,61
2021,Estimated using AADF from previous year on this link,74,36,5336,73,1120,195,6759,61
2020,Estimated using AADF from previous year on this link,91,34,4843,71,1027,181,6157,61
2019,Estimated using AADF from previous year on this link,80,46,6376,113,1164,207,7905,61
2018,Estimated using AADF from previous year on this link,73,49,6297,111,1174,207,7838,61
2017,Estimated using AADF from previous year on this link,66,49,6367,123,1153,205,7897,61
2016,Automatic counter,69,49,6414,131,1095,204,7894,61
2015,Automatic counter,71,48,6122,138,972,196,7476,61
2014,Automatic counter,69,47,5936,133,942,190,7249,61
2013,Automatic counter,62,42,5316,119,844,170,6491,61
2012,Estimated from nearby links,61,41,5236,118,831,167,6393,61
2024,Automatic counter,0,82,45095,79,12327,6725,64309,62
2023,Automatic counter,0,78,42619,75,11298,6275,60345,62
2022,Automatic counter,0,71,38165,65,10018,5869,54189,62
2021,Manual count,0,83,42174,72,11095,7291,60715,62
2020,Estimated using AADF from previous year on this link,0,103,30719,119,8979,6144,46064,62
2019,Estimated using AADF from previous year on this link,0,185,47548,222,10819,6777,65550,62
2018,Estimated using AADF from previous year on this link,0,191,46829,221,10827,6742,64812,62
2017,Estimated using AADF from previous year on this link,0,192,47232,220,10495,6643,64783,62
2016,Automatic counter,0,208,47283,226,9679,6372,63768,62
2015,Estimated using AADF from previous year on this link,0,202,46240,227,8986,6129,61784,62
2014,Automatic counter,0,207,46117,245,8076,5926,60572,62
2013,Automatic counter,0,184,40997,218,7179,5268,53847,62
2012,Estimated from nearby links,0,187,41599,221,7285,5346,54637,62
2024,Estimated using AADF from previous year on this link,0,126,45398,152,11705,8255,65636,63
2023,Estimated using AADF from previous year on this link,0,127,45476,152,11366,8167,65288,63
2022,Estimated using AADF from previous year on this link,0,131,44247,145,11006,8293,63822,63
2021,Estimated using AADF from previous year on this link,0,117,39037,126,9674,8170,57123,63
2020,Estimated using AADF from previous year on this link,0,114,34147,126,8277,7445,50109,63
2019,Estimated using AADF from previous year on this link,0,206,52854,235,9972,8173,71440,63
2018,Estimated using AADF from previous year on this link,0,213,52056,234,9980,8146,70629,63
2017,Estimated using AADF from previous year on this link,0,214,52504,233,9674,8029,70654,63
2016,Automatic counter,0,231,52561,239,8922,7719,69671,63
2015,Automatic counter,0,225,51411,240,8284,7499,67659,63
2014,Automatic counter,0,222,50812,238,8188,7412,66871,63
2013,Automatic counter,0,216,49442,231,7967,7212,65068,63
2012,Estimated from nearby links,0,203,46387,217,7475,6766,61048,63
2024,Estimated using AADF from previous year on this link,597,155,15313,198,2006,192,17863,64
2023,Estimated using AADF from previous year on this link,590,151,15084,197,1970,190,17592,64
2022,Manual count,600,153,14806,195,1938,192,17284,64
2021,Estimated using AADF from previous year on this link,745,76,10860,203,2160,172,13470,64
2020,Estimated using AADF from previous year on this link,912,71,9857,196,1982,161,12267,64
2019,Estimated using AADF from previous year on this link,797,96,12977,311,2245,183,15813,64
2018,Estimated using AADF from previous year on this link,727,103,12816,307,2265,184,15676,64
2017,Estimated using AADF from previous year on this link,658,104,12959,339,2223,183,15808,64
2016,Estimated using AADF from previous year on this link,687,103,13055,363,2112,183,15816,64
2015,Estimated using AADF from previous year on this link,737,105,12855,392,1934,181,15466,64
2014,Manual count,793,119,12605,364,1844,188,15119,64
2013,Estimated using AADF from previous year on this link,503,167,11843,394,1849,159,14413,64
2012,Estimated from nearby links,510,150,11949,377,1779,156,14411,64
2024,Manual count,0,324,80704,364,19252,9325,109969,501
2023,Estimated using AADF from previous year on this link,0,250,76253,350,17529,8181,102564,501
2022,Manual count,0,258,74193,335,16973,8327,100086,501
2021,Estimated using AADF from previous year on this link,0,221,68639,164,17519,9413,95956,501
2020,Manual count,0,217,60041,164,14988,8594,84004,501
2019,Manual count,0,427,84337,452,16532,9022,110770,501
2018,Estimated using AADF from previous year on this link,0,304,92287,459,16556,9732,119339,501
2017,Manual count,0,305,93081,457,16049,9588,119481,501
2016,Manual count,0,353,93082,404,15770,9355,118965,501
2015,Manual count,0,318,95242,431,16294,9666,121952,501
2014,Manual count,0,406,89665,556,13929,8578,113134,501
2013,Manual count,0,449,84596,589,11891,8455,105981,501
2012,Manual count,0,511,84757,508,12475,8783,107034,501
2011,Manual count,0,526,87568,449,13003,9393,110939,501
2010,Manual count,0,465,83638,619,12982,9522,107226,501
2009,Manual count,0,732,89623,477,12766,9084,112682,501
2008,Estimated using AADF from previous year on this link,0,553,86248,674,12576,10394,110445,501
2007,Estimated using AADF from previous year on this link,0,523,88279,520,12281,10818,112421,501
2006,Manual count,0,507,87665,459,11597,10982,111210,501
2005,Estimated using AADF from previous year on this link,0,395,89870,472,13396,10671,114804,501
2004,Manual count,0,391,89870,454,12942,10969,114626,501
2003,Estimated using AADF from previous year on this link,0,393,77650,462,11728,10769,101002,501
2002,Manual count,0,348,79559,449,11387,11296,103039,501
2001,Manual count,0,420,72449,480,9907,11009,94265,501
2000,Manual count,0,327,75586,574,9347,11313,97147,501
2024,Manual count,0,165,52766,135,13112,5251,71430,502
2023,Estimated using AADF from previous year on this link,0,143,48306,94,12492,5112,66148,502
2022,Estimated using AADF from previous year on this link,0,147,47001,89,12096,5205,64540,502
2021,Estimated using AADF from previous year on this link,0,131,41467,78,10633,5130,57439,502
2020,Manual count,0,128,36273,78,9097,4675,50251,502
2019,Estimated using AADF from previous year on this link,0,124,54791,166,11695,5502,72278,502
2018,Estimated using AADF from previous year on this link,0,128,53964,166,11704,5458,71420,502
2017,Estimated using AADF from previous year on this link,0,129,54428,166,11345,5376,71443,502
2016,Manual count,0,139,54487,169,10463,5145,70404,502
2015,Estimated using AADF from previous year on this link,0,212,52905,169,9853,5474,68612,502
2014,Manual count,0,217,52764,182,8855,5276,67295,502
2013,Manual count,0,114,49417,143,8343,4773,62789,502
2012,Manual count,0,145,45216,108,8151,4883,58503,502
2011,Manual count,0,113,49446,200,8049,5366,63174,502
2010,Estimated using AADF from previous year on this link,0,150,49410,345,7685,4918,62508,502
2009,Manual count,0,160,50316,305,7609,5000,63390,502
2008,Manual count,0,125,46094,274,7833,5216,59542,502
2007,Manual count,0,219,47694,214,8762,6354,63243,502
2006,Manual count,0,184,45846,398,8046,6398,60872,502
2005,Manual count,0,143,47789,271,7636,6352,62191,502
2004,Manual count,0,183,46113,280,7630,6439,60645,502
2003,Manual count,0,166,43579,332,6866,3379,54322,502
2002,Manual count,0,141,40428,218,6123,5299,52209,502
2001,Manual count,0,158,41144,359,6087,5665,53413,502
2000,Manual count,0,199,37512,252,6606,6020,50589,502
2024,Estimated using AADF from previous year on this link,0,252,55691,178,14000,4119,74241,503
2023,Manual count,0,255,55786,179,13595,4071,73886,503
2022,Estimated using AADF from previous year on this link,0,216,48622,124,12401,4779,66141,503
2021,Estimated using AADF from previous year on this link,0,192,42896,107,10900,4702,58799,503
2020,Estimated using AADF from previous year on this link,0,188,37523,108,9325,4252,51397,503
2019,Manual count,0,339,58080,200,11236,4729,74584,503
2018,Estimated using AADF from previous year on this link,0,130,55248,155,11714,5098,72345,503
2017,Manual count,0,131,55723,154,11355,5016,72378,503
