region,local_authority,road_name,road_classification,managed_by,road_type,start_junction,end_junction,link_km,link_miles,easting,northing,latitude,longitude,count_point_id
South West,Isles of Scilly,A3111,'A' road,Local authority,Major,"Pierhead, Hugh Town",A3112,0.30,0.19,90173,10641,49.91550316,-6.31755805,51
South West,Isles of Scilly,A3112,'A' road,Local authority,Major,A3111,A3110,2.00,1.24,91203,10217,49.91223308,-6.30291304,52
South West,Isles of Scilly,A3111,'A' road,Local authority,Major,A3112,A3110,1.20,0.75,90782,10687,49.91623084,-6.30913635,53
South West,Isles of Scilly,A3110,'A' road,Local authority,Major,A3111,A3112,0.30,0.19,91515,10820,49.91780213,-6.29906151,54
South West,Isles of Scilly,A3110,'A' road,Local authority,Major,A3111,A3112,4.00,2.49,91664,10833,49.91799555,-6.29700225,55
East Midlands,Nottinghamshire,A6097,'A' road,Local authority,Major,A46,A612,0.50,0.31,469894,341668,52.96784673,-0.96075404,60
Scotland,Glasgow City,A8,'A' road,Local authority,Major,M8,Morrison Street,0.10,0.06,257982,664405,55.85186199,-4.27014470,61
Scotland,North Lanarkshire,M80,Motorway,Transport Scotland,Major,A73,A73,0.60,0.37,274293,674066,55.94314002,-4.01428347,62
Scotland,Glasgow City,M74,Motorway,Transport Scotland,Major,A74,A724,0.10,0.06,263553,662467,55.83607145,-4.18025413,63
South West,Somerset,A3027,'A' road,Local authority,Major,Bridge A3807,A3038,0.10,0.06,322569,124948,51.01866743,-3.10529223,64
Wales,Newport,M4,Motorway,Welsh Government,Major,28,27,2.20,1.37,328415,187298,51.57997968,-3.03448837,501
Wales,Bridgend,M4,Motorway,Welsh Government,Major,LA Boundary,37,2.90,1.80,280770,182100,51.52519021,-3.72006193,502
Wales,Swansea,M4,Motorway,Welsh Government,Major,47,46,2.90,1.80,263100,199260,51.67538220,-3.98132004,503
Wales,Isle of Anglesey,A5,'A' road,Welsh Government,Major,A4080,A5114,9.40,5.84,240000,376000,53.25683051,-4.39998126,504
Wales,Gwynedd,A5,'A' road,Local authority,Major,A487,A4087,2.90,1.80,256000,371400,53.22009669,-4.15824648,505
Wales,Conwy,A5,'A' road,Welsh Government,Major,LA Boundary,A4086,8.40,5.22,266150,360260,53.12267657,-4.00166269,506
Wales,Denbighshire,A5,'A' road,Welsh Government,Major,A539,LA Boundary,4.80,2.98,324887,341121,52.96218793,-3.11970172,508
Wales,Monmouthshire,A40,'A' road,Welsh Government,Major,A449,B4233,9.80,6.09,350650,211973,51.80421249,-2.71712980,509
Wales,Monmouthshire,A40,'A' road,Welsh Government,Major,LA Boundary,"Pentre Rd, Abergavenny",4.30,2.67,325000,216300,51.84025234,-3.09001361,510
Wales,Powys,A40,'A' road,Welsh Government,Major,LA Boundary,A4067,11.50,7.15,290000,229321,51.95147459,-3.60201107,512
Wales,Carmarthenshire,A40,'A' road,Welsh Government,Major,A485,B4130,6.50,4.04,245000,221137,51.86722609,-4.25265563,514
Wales,Pembrokeshire,A40,'A' road,Welsh Government,Major,A478,LA Boundary,6.80,4.23,215123,216747,51.81869712,-4.68377708,515
Wales,Pembrokeshire,A40,'A' road,Welsh Government,Major,A4219,B4331,6.00,3.73,194270,230000,51.93040595,-4.99380832,516
Wales,Neath Port Talbot,A48,'A' road,Local authority,Major,M4 jn38,LA Boundary,4.70,2.92,281702,184376,51.54584216,-3.70739854,520
Wales,The Vale of Glamorgan,A48,'A' road,Local authority,Major,LA boundary,A4222 Gibbet's Hill,7.70,4.78,295051,176402,51.47681054,-3.51258957,521
Wales,Cardiff,A48,'A' road,Local authority,Major,A4232 / A4050,A4161,4.60,2.86,312000,175021,51.46729038,-3.26825910,522
Wales,Conwy,A55,'A' road,Welsh Government,Major,LA Boundary,A547,11.50,7.15,270621,376210,53.26707172,-3.94135675,524
Wales,Conwy,A55,'A' road,Welsh Government,Major,A547 Llanddulas,A548,3.90,2.42,291117,378454,53.29184153,-3.63496109,525
Wales,Denbighshire,A55,'A' road,Welsh Government,Major,A525E,LA Boundary,7.40,4.60,310884,375740,53.27114857,-3.33774350,526
Wales,Flintshire,A55,'A' road,Welsh Government,Major,A550,A5104,2.30,1.43,331410,363490,53.16410852,-3.02738258,527
Wales,Powys,A458,'A' road,Welsh Government,Major,B4389 Bridge St,A490,13.90,8.64,317603,306491,52.64988314,-3.21937679,528
Wales,Merthyr Tydfil,A465,'A' road,Welsh Government,Major,B42776 Merthyr Road,Swansea Rd,1.10,0.68,300580,207344,51.75593526,-3.44178953,530
